181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000419	2	0	13	4	10	6	25	23	120	42	75	76
ENSSSCG00000000431	424	531	1639	1544	1302	1550	2028	2079	2069	2060	2159	2317
ENSSSCG00000000433	31	42	148	127	60	56	441	357	152	146	162	126
ENSSSCG00000000435	1720	1700	6032	6174	1430	1843	7997	7303	1887	2229	2221	1881
ENSSSCG00000000436	91	203	452	480	27	24	472	94	45	60	78	45
ENSSSCG00000000437	75	117	207	198	148	114	298	264	77	92	114	96
ENSSSCG00000000439	19	21	24	24	7	5	79	82	99	102	163	79
ENSSSCG00000000442	1	2	0	0	2	3	0	0	1	2	3	0
ENSSSCG00000000443	156	127	505	676	118	187	1559	609	243	232	327	260
ENSSSCG00000000444	4079	5012	7211	6989	7079	6695	11460	9647	7908	8696	8105	8665
ENSSSCG00000000449	449	479	1646	1647	546	594	2430	2280	985	1127	1273	1137
ENSSSCG00000000453	240	278	442	527	314	294	811	663	413	415	409	386
ENSSSCG00000000455	954	1035	4426	5734	1201	1137	7745	5608	2402	2347	2437	2292
ENSSSCG00000000456	88	61	384	334	116	110	708	631	436	558	710	452
ENSSSCG00000000457	1177	1068	1551	1572	1672	1813	2324	2067	2531	2789	2667	2473
ENSSSCG00000000458	1439	1463	3502	3984	2455	2872	5284	4575	4569	4811	4531	4551
ENSSSCG00000000462	442	450	945	930	576	665	1667	1375	525	726	590	633
ENSSSCG00000000464	34	51	20	42	19	47	83	86	33	60	58	36
ENSSSCG00000000466	2896	3001	4459	4992	4105	4753	8925	8007	6647	6618	6882	6869
ENSSSCG00000000469	563	623	1322	1423	1346	1205	1340	1071	1476	1729	1545	1565
ENSSSCG00000000473	469	396	1028	1108	834	1032	1667	1463	1707	1836	1697	1782
ENSSSCG00000000475	108	107	242	328	203	261	500	593	791	586	724	567
ENSSSCG00000000477	139	128	554	508	315	309	922	626	791	650	704	710
ENSSSCG00000000478	267	302	318	312	569	214	561	112	335	817	797	321
ENSSSCG00000000482	0	0	0	0	0	0	0	1	0	0	0	0
ENSSSCG00000000483	151	203	318	395	213	282	735	635	446	450	454	514
ENSSSCG00000000486	1333	1355	1983	1997	1317	1373	2653	2097	2011	1938	2028	1917
ENSSSCG00000000487	226	255	711	760	367	416	883	852	499	475	506	467
ENSSSCG00000000488	840	994	1583	1618	1307	1445	2252	2222	2188	1943	2017	2207
ENSSSCG00000000492	0	3	7	8	12	39	84	119	20	14	28	12
ENSSSCG00000000493	196	270	871	856	337	348	1071	950	793	758	812	778
ENSSSCG00000000496	10032	10866	9183	8722	13431	11556	13719	10631	9941	10735	9553	11345
ENSSSCG00000000499	56	45	7	12	345	386	28	29	1532	721	1279	937
